Region,State,Date,EVs
Kreisfreie Stadt Trier,Rheinland-Pfalz,2018-07-01,32
Kreisfreie Stadt Worms,Rheinland-Pfalz,2018-07-01,14
Kreisfreie Stadt Zweibrücken,Rheinland-Pfalz,2018-07-01,0
Landkreis Ahrweiler,Rheinland-Pfalz,2018-07-01,20
Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz,2018-07-01,12
Landkreis Alzey-Worms,Rheinland-Pfalz,2018-07-01,24
Landkreis Bad Dürkheim,Rheinland-Pfalz,2018-07-01,18
Landkreis Bad Kreuznach,Rheinland-Pfalz,2018-07-01,10
Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,2018-07-01,14
Landkreis Birkenfeld,Rheinland-Pfalz,2018-07-01,10
Landkreis Cochem-Zell,Rheinland-Pfalz,2018-07-01,4
Landkreis Donnersbergkreis,Rheinland-Pfalz,2018-07-01,16
Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2018-07-01,18
Landkreis Germersheim,Rheinland-Pfalz,2018-07-01,14
Landkreis Kaiserslautern,Rheinland-Pfalz,2018-07-01,5
Landkreis Kusel,Rheinland-Pfalz,2018-07-01,12
Landkreis Mainz-Bingen,Rheinland-Pfalz,2018-07-01,27
Landkreis Mayen-Koblenz,Rheinland-Pfalz,2018-07-01,26
Landkreis Neuwied,Rheinland-Pfalz,2018-07-01,32
Landkreis Rhein-Hunsrück-Kreis,Rheinland-Pfalz,2018-07-01,20
Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz,2018-07-01,6
Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz,2018-07-01,12
Landkreis Südliche Weinstraße,Rheinland-Pfalz,2018-07-01,12
Landkreis Südwestpfalz,Rheinland-Pfalz,2018-07-01,2
Landkreis Trier-Saarburg,Rheinland-Pfalz,2018-07-01,22
Landkreis Vulkaneifel,Rheinland-Pfalz,2018-07-01,13
Landkreis Westerwaldkreis,Rheinland-Pfalz,2018-07-01,13
Landkreis Merzig-Wadern,Saarland,2018-07-01,0
Landkreis Neunkirchen,Saarland,2018-07-01,10
Landkreis Regionalverband Saarbrücken,Saarland,2018-07-01,22
Landkreis Saarlouis,Saarland,2018-07-01,2
Landkreis Saarpfalz-Kreis,Saarland,2018-07-01,14
Landkreis St. Wendel,Saarland,2018-07-01,3
Kreisfreie Stadt Chemnitz,Sachsen,2018-07-01,63
Kreisfreie Stadt Dresden,Sachsen,2018-07-01,25
Kreisfreie Stadt Leipzig,Sachsen,2018-07-01,100
Landkreis Bautzen,Sachsen,2018-07-01,17
Landkreis Erzgebirgskreis,Sachsen,2018-07-01,18
Landkreis Görlitz,Sachsen,2018-07-01,9
Landkreis Leipzig,Sachsen,2018-07-01,41
Landkreis Meißen,Sachsen,2018-07-01,16
Landkreis Mittelsachsen,Sachsen,2018-07-01,16
Landkreis Nordsachsen,Sachsen,2018-07-01,13
Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen,2018-07-01,11
Landkreis Vogtlandkreis,Sachsen,2018-07-01,35
Landkreis Zwickau,Sachsen,2018-07-01,22
Kreisfreie Stadt Dessau-Roßlau,Sachsen-Anhalt,2018-07-01,2
Kreisfreie Stadt Halle (Saale),Sachsen-Anhalt,2018-07-01,37
Kreisfreie Stadt Magdeburg,Sachsen-Anhalt,2018-07-01,29
Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt,2018-07-01,4
Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,2018-07-01,20
Landkreis Börde,Sachsen-Anhalt,2018-07-01,19
Landkreis Burgenlandkreis,Sachsen-Anhalt,2018-07-01,13
Landkreis Harz,Sachsen-Anhalt,2018-07-01,14
Landkreis Jerichower Land,Sachsen-Anhalt,2018-07-01,4
Landkreis Mansfeld-Südharz,Sachsen-Anhalt,2018-07-01,24
Landkreis Saalekreis,Sachsen-Anhalt,2018-07-01,12
Landkreis Salzlandkreis,Sachsen-Anhalt,2018-07-01,23
Landkreis Stendal,Sachsen-Anhalt,2018-07-01,2
Landkreis Wittenberg,Sachsen-Anhalt,2018-07-01,12
Kreis Dithmarschen,Schleswig-Holstein,2018-07-01,58
Kreis Herzogtum Lauenburg,Schleswig-Holstein,2018-07-01,47
Kreis Nordfriesland,Schleswig-Holstein,2018-07-01,112
Kreis Ostholstein,Schleswig-Holstein,2018-07-01,89
Kreis Pinneberg,Schleswig-Holstein,2018-07-01,54
Kreis Plön,Schleswig-Holstein,2018-07-01,6
Kreis Rendsburg-Eckernförde,Schleswig-Holstein,2018-07-01,45
Kreis Schleswig-Flensburg,Schleswig-Holstein,2018-07-01,30
Kreis Segeberg,Schleswig-Holstein,2018-07-01,63
Kreis Steinburg,Schleswig-Holstein,2018-07-01,26
Kreis Stormarn,Schleswig-Holstein,2018-07-01,51
Kreisfreie Stadt Flensburg,Schleswig-Holstein,2018-07-01,11
Kreisfreie Stadt Kiel,Schleswig-Holstein,2018-07-01,40
Kreisfreie Stadt Lübeck,Schleswig-Holstein,2018-07-01,26
Kreisfreie Stadt Neumünster,Schleswig-Holstein,2018-07-01,23
Kreisfreie Stadt Erfurt,Thüringen,2018-07-01,62
Kreisfreie Stadt Gera,Thüringen,2018-07-01,19
Kreisfreie Stadt Jena,Thüringen,2018-07-01,23
Kreisfreie Stadt Suhl,Thüringen,2018-07-01,10
Kreisfreie Stadt Weimar,Thüringen,2018-07-01,3
Landkreis Altenburger Land,Thüringen,2018-07-01,18
Landkreis Eichsfeld,Thüringen,2018-07-01,44
Landkreis Gotha,Thüringen,2018-07-01,24
Landkreis Greiz,Thüringen,2018-07-01,6
Landkreis Hildburghausen,Thüringen,2018-07-01,10
Landkreis Ilm-Kreis,Thüringen,2018-07-01,27
Landkreis Kyffhäuserkreis,Thüringen,2018-07-01,17
Landkreis Nordhausen,Thüringen,2018-07-01,18
Landkreis Saale-Holzland-Kreis,Thüringen,2018-07-01,34
Landkreis Saale-Orla-Kreis,Thüringen,2018-07-01,12
Landkreis Saalfeld-Rudolstadt,Thüringen,2018-07-01,14
Landkreis Schmalkalden-Meiningen,Thüringen,2018-07-01,23
Landkreis Sömmerda,Thüringen,2018-07-01,4
Landkreis Sonneberg,Thüringen,2018-07-01,8
Landkreis Unstrut-Hainich-Kreis,Thüringen,2018-07-01,30
Landkreis Wartburgkreis,Thüringen,2018-07-01,35
Landkreis Weimarer Land,Thüringen,2018-07-01,18
Summe,,2018-07-01,0
Landkreis Alb-Donau-Kreis,Baden-Württemberg,2018-10-01,38
Landkreis Biberach,Baden-Württemberg,2018-10-01,10
Landkreis Böblingen,Baden-Württemberg,2018-10-01,61
Landkreis Bodenseekreis,Baden-Württemberg,2018-10-01,102
Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,2018-10-01,54
Landkreis Calw,Baden-Württemberg,2018-10-01,86
Landkreis Emmendingen,Baden-Württemberg,2018-10-01,16
Landkreis Enzkreis,Baden-Württemberg,2018-10-01,30
Landkreis Esslingen,Baden-Württemberg,2018-10-01,106
Landkreis Freudenstadt,Baden-Württemberg,2018-10-01,24
Landkreis Göppingen,Baden-Württemberg,2018-10-01,54
Landkreis Heidenheim,Baden-Württemberg,2018-10-01,51
Landkreis Heilbronn,Baden-Württemberg,2018-10-01,51
Landkreis Hohenlohekreis,Baden-Württemberg,2018-10-01,22
Landkreis Karlsruhe,Baden-Württemberg,2018-10-01,208
Landkreis Konstanz,Baden-Württemberg,2018-10-01,31
Landkreis Lörrach,Baden-Württemberg,2018-10-01,62
Landkreis Ludwigsburg,Baden-Württemberg,2018-10-01,152
Landkreis Main-Tauber-Kreis,Baden-Württemberg,2018-10-01,40
Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg,2018-10-01,16
Landkreis Ortenaukreis,Baden-Württemberg,2018-10-01,90
Landkreis Ostalbkreis,Baden-Württemberg,2018-10-01,46
Landkreis Rastatt,Baden-Württemberg,2018-10-01,30
Landkreis Ravensburg,Baden-Württemberg,2018-10-01,38
Landkreis Rems-Murr-Kreis,Baden-Württemberg,2018-10-01,58
Landkreis Reutlingen,Baden-Württemberg,2018-10-01,23
Landkreis Rhein-Neckar-Kreis,Baden-Württemberg,2018-10-01,82
Landkreis Rottweil,Baden-Württemberg,2018-10-01,25
Landkreis Schwäbisch Hall,Baden-Württemberg,2018-10-01,42
Landkreis Schwarzwald-Baar-Kreis,Baden-Württemberg,2018-10-01,62
Landkreis Sigmaringen,Baden-Württemberg,2018-10-01,6
Landkreis Tübingen,Baden-Württemberg,2018-10-01,37
Landkreis Tuttlingen,Baden-Württemberg,2018-10-01,34
Landkreis Waldshut,Baden-Württemberg,2018-10-01,65
Landkreis Zollernalbkreis,Baden-Württemberg,2018-10-01,18
Stadtkreis Baden-Baden,Baden-Württemberg,2018-10-01,18
Stadtkreis Freiburg im Breisgau,Baden-Württemberg,2018-10-01,27
Stadtkreis Heidelberg,Baden-Württemberg,2018-10-01,23
Stadtkreis Heilbronn,Baden-Württemberg,2018-10-01,15
Stadtkreis Karlsruhe,Baden-Württemberg,2018-10-01,10
Stadtkreis Mannheim,Baden-Württemberg,2018-10-01,13
Stadtkreis Pforzheim,Baden-Württemberg,2018-10-01,7
Stadtkreis Stuttgart,Baden-Württemberg,2018-10-01,97
Stadtkreis Ulm,Baden-Württemberg,2018-10-01,98
Kreisfreie Stadt Amberg,Bayern,2018-10-01,0
Kreisfreie Stadt Ansbach,Bayern,2018-10-01,11
Kreisfreie Stadt Aschaffenburg,Bayern,2018-10-01,16
Kreisfreie Stadt Augsburg,Bayern,2018-10-01,44
Kreisfreie Stadt Bamberg,Bayern,2018-10-01,32
Kreisfreie Stadt Bayreuth,Bayern,2018-10-01,17
Kreisfreie Stadt Coburg,Bayern,2018-10-01,25
Kreisfreie Stadt Erlangen,Bayern,2018-10-01,15
Kreisfreie Stadt Fürth,Bayern,2018-10-01,37
Kreisfreie Stadt Hof,Bayern,2018-10-01,10
Kreisfreie Stadt Ingolstadt,Bayern,2018-10-01,40
Kreisfreie Stadt Kaufbeuren,Bayern,2018-10-01,10
Kreisfreie Stadt Kempten (Allgäu),Bayern,2018-10-01,14
Kreisfreie Stadt Landshut,Bayern,2018-10-01,13
Kreisfreie Stadt Memmingen,Bayern,2018-10-01,11
Kreisfreie Stadt München,Bayern,2018-10-01,540
Kreisfreie Stadt Nürnberg,Bayern,2018-10-01,43
Kreisfreie Stadt Passau,Bayern,2018-10-01,29
Kreisfreie Stadt Regensburg,Bayern,2018-10-01,106
Kreisfreie Stadt Rosenheim,Bayern,2018-10-01,2
Kreisfreie Stadt Schwabach,Bayern,2018-10-01,16
Kreisfreie Stadt Schweinfurt,Bayern,2018-10-01,21
Kreisfreie Stadt Straubing,Bayern,2018-10-01,24
Kreisfreie Stadt Weiden i.d. OPf.,Bayern,2018-10-01,4
Kreisfreie Stadt Würzburg,Bayern,2018-10-01,28
Landkreis Aichach-Friedberg,Bayern,2018-10-01,21
Landkreis Altötting,Bayern,2018-10-01,45
Landkreis Amberg-Sulzbach,Bayern,2018-10-01,10
Landkreis Ansbach,Bayern,2018-10-01,55
Landkreis Aschaffenburg,Bayern,2018-10-01,40
Landkreis Augsburg,Bayern,2018-10-01,65
Landkreis Bad Kissingen,Bayern,2018-10-01,32
Landkreis Bad Tölz-Wolfratshausen,Bayern,2018-10-01,36
Landkreis Bamberg,Bayern,2018-10-01,11
Landkreis Bayreuth,Bayern,2018-10-01,19
Landkreis Berchtesgadener Land,Bayern,2018-10-01,38
Landkreis Cham,Bayern,2018-10-01,40
Landkreis Coburg,Bayern,2018-10-01,8
Landkreis Dachau,Bayern,2018-10-01,8
Landkreis Deggendorf,Bayern,2018-10-01,86
Landkreis Dillingen a.d. Donau,Bayern,2018-10-01,17
Landkreis Dingolfing-Landau,Bayern,2018-10-01,6
Landkreis Donau-Ries,Bayern,2018-10-01,26
Landkreis Ebersberg,Bayern,2018-10-01,15
Landkreis Eichstätt,Bayern,2018-10-01,36
Landkreis Erding,Bayern,2018-10-01,29
Landkreis Erlangen-Höchstadt,Bayern,2018-10-01,22
Landkreis Forchheim,Bayern,2018-10-01,24
Landkreis Freising,Bayern,2018-10-01,39
Landkreis Freyung-Grafenau,Bayern,2018-10-01,81
Landkreis Fürstenfeldbruck,Bayern,2018-10-01,11
Landkreis Fürth,Bayern,2018-10-01,30
Landkreis Garmisch-Partenkirchen,Bayern,2018-10-01,11
Landkreis Günzburg,Bayern,2018-10-01,39
Landkreis Haßberge,Bayern,2018-10-01,8
Landkreis Hof,Bayern,2018-10-01,14
Landkreis Kelheim,Bayern,2018-10-01,6
Landkreis Kitzingen,Bayern,2018-10-01,38
Landkreis Kronach,Bayern,2018-10-01,7
Landkreis Kulmbach,Bayern,2018-10-01,28
Landkreis Landsberg am Lech,Bayern,2018-10-01,31
Landkreis Landshut,Bayern,2018-10-01,25
Landkreis Lichtenfels,Bayern,2018-10-01,6
Landkreis Lindau (Bodensee),Bayern,2018-10-01,42
Landkreis Main-Spessart,Bayern,2018-10-01,24
Landkreis Miesbach,Bayern,2018-10-01,24
Landkreis Miltenberg,Bayern,2018-10-01,16
Landkreis Mühldorf a. Inn,Bayern,2018-10-01,34
Landkreis München,Bayern,2018-10-01,50
Landkreis Neuburg-Schrobenhausen,Bayern,2018-10-01,1
Landkreis Neumarkt i.d. OPf.,Bayern,2018-10-01,62
Landkreis Neustadt a.d. Aisch-Bad Windsheim,Bayern,2018-10-01,40
Landkreis Neustadt a.d. Waldnaab,Bayern,2018-10-01,30
Landkreis Neu-Ulm,Bayern,2018-10-01,41
Landkreis Nürnberger Land,Bayern,2018-10-01,55
Landkreis Oberallgäu,Bayern,2018-10-01,43
Landkreis Ostallgäu,Bayern,2018-10-01,49
Landkreis Passau,Bayern,2018-10-01,116
Landkreis Pfaffenhofen a.d. Ilm,Bayern,2018-10-01,18
Landkreis Regen,Bayern,2018-10-01,130
Landkreis Regensburg,Bayern,2018-10-01,58
Landkreis Rhön-Grabfeld,Bayern,2018-10-01,50
Landkreis Rosenheim,Bayern,2018-10-01,79
Landkreis Roth,Bayern,2018-10-01,44
Landkreis Rottal-Inn,Bayern,2018-10-01,29
Landkreis Schwandorf,Bayern,2018-10-01,21
Landkreis Schweinfurt,Bayern,2018-10-01,50
Landkreis Starnberg,Bayern,2018-10-01,9
Landkreis Straubing-Bogen,Bayern,2018-10-01,91
Landkreis Tirschenreuth,Bayern,2018-10-01,8
Landkreis Traunstein,Bayern,2018-10-01,55
Landkreis Unterallgäu,Bayern,2018-10-01,42
Landkreis Weilheim-Schongau,Bayern,2018-10-01,23
Landkreis Weißenburg-Gunzenhausen,Bayern,2018-10-01,10
Landkreis Wunsiedel i. Fichtelgebirge,Bayern,2018-10-01,16
Landkreis Würzburg,Bayern,2018-10-01,51
Kreisfreie Stadt Berlin,Berlin,2018-10-01,744
Kreisfreie Stadt Brandenburg an der Havel,Brandenburg,2018-10-01,1
Kreisfreie Stadt Cottbus,Brandenburg,2018-10-01,2
Kreisfreie Stadt Frankfurt (Oder),Brandenburg,2018-10-01,2
Kreisfreie Stadt Potsdam,Brandenburg,2018-10-01,28
Landkreis Barnim,Brandenburg,2018-10-01,10
Landkreis Dahme-Spreewald,Brandenburg,2018-10-01,14
Landkreis Elbe-Elster,Brandenburg,2018-10-01,11
Landkreis Havelland,Brandenburg,2018-10-01,15
Landkreis Märkisch-Oderland,Brandenburg,2018-10-01,14
Landkreis Oberhavel,Brandenburg,2018-10-01,23
Landkreis Oberspreewald-Lausitz,Brandenburg,2018-10-01,2
Landkreis Oder-Spree,Brandenburg,2018-10-01,11
Landkreis Ostprignitz-Ruppin,Brandenburg,2018-10-01,22
Landkreis Potsdam-Mittelmark,Brandenburg,2018-10-01,38
Landkreis Prignitz,Brandenburg,2018-10-01,2
Landkreis Spree-Neiße,Brandenburg,2018-10-01,18
Landkreis Teltow-Fläming,Brandenburg,2018-10-01,35
Landkreis Uckermark,Brandenburg,2018-10-01,15
Kreisfreie Stadt Bremen,Bremen,2018-10-01,76
Kreisfreie Stadt Bremerhaven,Bremen,2018-10-01,34
Kreisfreie Stadt Hamburg,Hamburg,2018-10-01,852
Kreisfreie Stadt Darmstadt,Hessen,2018-10-01,69
Kreisfreie Stadt Frankfurt am Main,Hessen,2018-10-01,57
Kreisfreie Stadt Kassel,Hessen,2018-10-01,32
Kreisfreie Stadt Offenbach am Main,Hessen,2018-10-01,8
Kreisfreie Stadt Wiesbaden,Hessen,2018-10-01,81
Landkreis Bergstraße,Hessen,2018-10-01,70
Landkreis Darmstadt-Dieburg,Hessen,2018-10-01,123
Landkreis Fulda,Hessen,2018-10-01,61
Landkreis Gießen,Hessen,2018-10-01,18
Landkreis Groß-Gerau,Hessen,2018-10-01,64
Landkreis Hersfeld-Rotenburg,Hessen,2018-10-01,25
Landkreis Hochtaunuskreis,Hessen,2018-10-01,37
Landkreis Kassel,Hessen,2018-10-01,101
Landkreis Lahn-Dill-Kreis,Hessen,2018-10-01,29
Landkreis Limburg-Weilburg,Hessen,2018-10-01,60
Landkreis Main-Kinzig-Kreis,Hessen,2018-10-01,69
Landkreis Main-Taunus-Kreis,Hessen,2018-10-01,37
Landkreis Marburg-Biedenkopf,Hessen,2018-10-01,59
Landkreis Odenwaldkreis,Hessen,2018-10-01,42
Landkreis Offenbach,Hessen,2018-10-01,100
Landkreis Rheingau-Taunus-Kreis,Hessen,2018-10-01,41
Landkreis Schwalm-Eder-Kreis,Hessen,2018-10-01,45
Landkreis Vogelsbergkreis,Hessen,2018-10-01,23
Landkreis Waldeck-Frankenberg,Hessen,2018-10-01,18
Landkreis Werra-Meißner-Kreis,Hessen,2018-10-01,23
Landkreis Wetteraukreis,Hessen,2018-10-01,23
Kreisfreie Stadt Rostock,Mecklenburg-Vorpommern,2018-10-01,28
Kreisfreie Stadt Schwerin,Mecklenburg-Vorpommern,2018-10-01,0
Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,2018-10-01,35
Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,2018-10-01,20
Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,2018-10-01,33
Landkreis Rostock,Mecklenburg-Vorpommern,2018-10-01,24
Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,2018-10-01,31
Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,2018-10-01,34
Kreisfreie Stadt Braunschweig,Niedersachsen,2018-10-01,43
Kreisfreie Stadt Delmenhorst,Niedersachsen,2018-10-01,14
Kreisfreie Stadt Emden,Niedersachsen,2018-10-01,6
Kreisfreie Stadt Oldenburg (Oldb),Niedersachsen,2018-10-01,60
Kreisfreie Stadt Osnabrück,Niedersachsen,2018-10-01,2
Kreisfreie Stadt Salzgitter,Niedersachsen,2018-10-01,9
Kreisfreie Stadt Wilhelmshaven,Niedersachsen,2018-10-01,10
Kreisfreie Stadt Wolfsburg,Niedersachsen,2018-10-01,210
Landkreis Ammerland,Niedersachsen,2018-10-01,28
Landkreis Aurich,Niedersachsen,2018-10-01,47
Landkreis Celle,Niedersachsen,2018-10-01,9
Landkreis Cloppenburg,Niedersachsen,2018-10-01,50
Landkreis Cuxhaven,Niedersachsen,2018-10-01,33
Landkreis Diepholz,Niedersachsen,2018-10-01,37
Landkreis Emsland,Niedersachsen,2018-10-01,61
Landkreis Friesland,Niedersachsen,2018-10-01,27
Landkreis Gifhorn,Niedersachsen,2018-10-01,7
Landkreis Goslar,Niedersachsen,2018-10-01,22
Landkreis Göttingen,Niedersachsen,2018-10-01,62
Landkreis Grafschaft Bentheim,Niedersachsen,2018-10-01,44
Landkreis Hameln-Pyrmont,Niedersachsen,2018-10-01,20
Landkreis Harburg,Niedersachsen,2018-10-01,61
Landkreis Heidekreis,Niedersachsen,2018-10-01,30
Landkreis Helmstedt,Niedersachsen,2018-10-01,27
Landkreis Hildesheim,Niedersachsen,2018-10-01,63
Landkreis Holzminden,Niedersachsen,2018-10-01,24
Landkreis Leer,Niedersachsen,2018-10-01,64
Landkreis Lüchow-Dannenberg,Niedersachsen,2018-10-01,5
Landkreis Lüneburg,Niedersachsen,2018-10-01,41
Landkreis Nienburg (Weser),Niedersachsen,2018-10-01,57
Landkreis Northeim,Niedersachsen,2018-10-01,36
Landkreis Oldenburg,Niedersachsen,2018-10-01,57
Landkreis Osnabrück,Niedersachsen,2018-10-01,77
Landkreis Osterholz,Niedersachsen,2018-10-01,18
Landkreis Peine,Niedersachsen,2018-10-01,9
Landkreis Region Hannover,Niedersachsen,2018-10-01,111
Landkreis Rotenburg (Wümme),Niedersachsen,2018-10-01,62
Landkreis Schaumburg,Niedersachsen,2018-10-01,62
Landkreis Stade,Niedersachsen,2018-10-01,34
Landkreis Uelzen,Niedersachsen,2018-10-01,7
Landkreis Vechta,Niedersachsen,2018-10-01,54
Landkreis Verden,Niedersachsen,2018-10-01,23
Landkreis Wesermarsch,Niedersachsen,2018-10-01,21
Landkreis Wittmund,Niedersachsen,2018-10-01,16
Landkreis Wolfenbüttel,Niedersachsen,2018-10-01,19
Kreis Borken,Nordrhein-Westfalen,2018-10-01,82
Kreis Coesfeld,Nordrhein-Westfalen,2018-10-01,50
Kreis Düren,Nordrhein-Westfalen,2018-10-01,49
Kreis Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,2018-10-01,53
Kreis Euskirchen,Nordrhein-Westfalen,2018-10-01,77
Kreis Gütersloh,Nordrhein-Westfalen,2018-10-01,52
Kreis Heinsberg,Nordrhein-Westfalen,2018-10-01,17
Kreis Herford,Nordrhein-Westfalen,2018-10-01,22
Kreis Hochsauerlandkreis,Nordrhein-Westfalen,2018-10-01,47
Kreis Höxter,Nordrhein-Westfalen,2018-10-01,24
Kreis Kleve,Nordrhein-Westfalen,2018-10-01,35
Kreis Lippe,Nordrhein-Westfalen,2018-10-01,91
Kreis Märkischer Kreis,Nordrhein-Westfalen,2018-10-01,42
Kreis Mettmann,Nordrhein-Westfalen,2018-10-01,78
Kreis Minden-Lübbecke,Nordrhein-Westfalen,2018-10-01,32
Kreis Oberbergischer Kreis,Nordrhein-Westfalen,2018-10-01,52
Kreis Olpe,Nordrhein-Westfalen,2018-10-01,32
Kreis Paderborn,Nordrhein-Westfalen,2018-10-01,42
Kreis Recklinghausen,Nordrhein-Westfalen,2018-10-01,69
Kreis Rhein-Erft-Kreis,Nordrhein-Westfalen,2018-10-01,71
Kreis Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,2018-10-01,55
Kreis Rhein-Kreis Neuss,Nordrhein-Westfalen,2018-10-01,46
Kreis Rhein-Sieg-Kreis,Nordrhein-Westfalen,2018-10-01,110
Kreis Siegen-Wittgenstein,Nordrhein-Westfalen,2018-10-01,41
Kreis Soest,Nordrhein-Westfalen,2018-10-01,45
Kreis Städteregion Aachen,Nordrhein-Westfalen,2018-10-01,169
Kreis Steinfurt,Nordrhein-Westfalen,2018-10-01,81
Kreis Unna,Nordrhein-Westfalen,2018-10-01,52
Kreis Viersen,Nordrhein-Westfalen,2018-10-01,45
Kreis Warendorf,Nordrhein-Westfalen,2018-10-01,57
Kreis Wesel,Nordrhein-Westfalen,2018-10-01,60
Kreisfreie Stadt Bielefeld,Nordrhein-Westfalen,2018-10-01,68
Kreisfreie Stadt Bochum,Nordrhein-Westfalen,2018-10-01,60
Kreisfreie Stadt Bonn,Nordrhein-Westfalen,2018-10-01,43
Kreisfreie Stadt Bottrop,Nordrhein-Westfalen,2018-10-01,35
Kreisfreie Stadt Dortmund,Nordrhein-Westfalen,2018-10-01,162
Kreisfreie Stadt Duisburg,Nordrhein-Westfalen,2018-10-01,35
Kreisfreie Stadt Düsseldorf,Nordrhein-Westfalen,2018-10-01,193
Kreisfreie Stadt Essen,Nordrhein-Westfalen,2018-10-01,91
Kreisfreie Stadt Gelsenkirchen,Nordrhein-Westfalen,2018-10-01,23
Kreisfreie Stadt Hagen,Nordrhein-Westfalen,2018-10-01,26
Kreisfreie Stadt Hamm,Nordrhein-Westfalen,2018-10-01,24
Kreisfreie Stadt Herne,Nordrhein-Westfalen,2018-10-01,14
Kreisfreie Stadt Köln,Nordrhein-Westfalen,2018-10-01,217
Kreisfreie Stadt Krefeld,Nordrhein-Westfalen,2018-10-01,6
Kreisfreie Stadt Leverkusen,Nordrhein-Westfalen,2018-10-01,18
Kreisfreie Stadt Mönchengladbach,Nordrhein-Westfalen,2018-10-01,20
Kreisfreie Stadt Mülheim an der Ruhr,Nordrhein-Westfalen,2018-10-01,41
Kreisfreie Stadt Münster,Nordrhein-Westfalen,2018-10-01,27
Kreisfreie Stadt Oberhausen,Nordrhein-Westfalen,2018-10-01,20
Kreisfreie Stadt Remscheid,Nordrhein-Westfalen,2018-10-01,8
Kreisfreie Stadt Solingen,Nordrhein-Westfalen,2018-10-01,26
Kreisfreie Stadt Wuppertal,Nordrhein-Westfalen,2018-10-01,50
Kreisfreie Stadt Frankenthal (Pfalz),Rheinland-Pfalz,2018-10-01,6
Kreisfreie Stadt Kaiserslautern,Rheinland-Pfalz,2018-10-01,36
Kreisfreie Stadt Koblenz,Rheinland-Pfalz,2018-10-01,6
Kreisfreie Stadt Landau in der Pfalz,Rheinland-Pfalz,2018-10-01,38
Kreisfreie Stadt Ludwigshafen am Rhein,Rheinland-Pfalz,2018-10-01,16
Kreisfreie Stadt Mainz,Rheinland-Pfalz,2018-10-01,29
Kreisfreie Stadt Neustadt an der Weinstraße,Rheinland-Pfalz,2018-10-01,14
Kreisfreie Stadt Pirmasens,Rheinland-Pfalz,2018-10-01,0
Kreisfreie Stadt Speyer,Rheinland-Pfalz,2018-10-01,17
Kreisfreie Stadt Trier,Rheinland-Pfalz,2018-10-01,36
Kreisfreie Stadt Worms,Rheinland-Pfalz,2018-10-01,16
Kreisfreie Stadt Zweibrücken,Rheinland-Pfalz,2018-10-01,0
Landkreis Ahrweiler,Rheinland-Pfalz,2018-10-01,20
Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz,2018-10-01,13
Landkreis Alzey-Worms,Rheinland-Pfalz,2018-10-01,27
Landkreis Bad Dürkheim,Rheinland-Pfalz,2018-10-01,22
Landkreis Bad Kreuznach,Rheinland-Pfalz,2018-10-01,10
Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,2018-10-01,18
Landkreis Birkenfeld,Rheinland-Pfalz,2018-10-01,14
Landkreis Cochem-Zell,Rheinland-Pfalz,2018-10-01,4
Landkreis Donnersbergkreis,Rheinland-Pfalz,2018-10-01,16
Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2018-10-01,18
Landkreis Germersheim,Rheinland-Pfalz,2018-10-01,18
Landkreis Kaiserslautern,Rheinland-Pfalz,2018-10-01,5
Landkreis Kusel,Rheinland-Pfalz,2018-10-01,16
Landkreis Mainz-Bingen,Rheinland-Pfalz,2018-10-01,29
Landkreis Mayen-Koblenz,Rheinland-Pfalz,2018-10-01,28
Landkreis Neuwied,Rheinland-Pfalz,2018-10-01,32
Landkreis Rhein-Hunsrück-Kreis,Rheinland-Pfalz,2018-10-01,20
Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz,2018-10-01,6
Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz,2018-10-01,12
Landkreis Südliche Weinstraße,Rheinland-Pfalz,2018-10-01,36
Landkreis Südwestpfalz,Rheinland-Pfalz,2018-10-01,4
Landkreis Trier-Saarburg,Rheinland-Pfalz,2018-10-01,22
Landkreis Vulkaneifel,Rheinland-Pfalz,2018-10-01,15
Landkreis Westerwaldkreis,Rheinland-Pfalz,2018-10-01,15
Landkreis Merzig-Wadern,Saarland,2018-10-01,2
Landkreis Neunkirchen,Saarland,2018-10-01,11
Landkreis Regionalverband Saarbrücken,Saarland,2018-10-01,27
